date,atm_id,location_type,net_cash_out,num_withdrawals,is_holiday,replenishment,end_of_day_balance,stockout
2021-01-01,ATM001,metro_retail,1939000,606,1,0,1601000,0
2021-01-01,ATM002,urban_residential,971800,304,1,0,1148200,0
2021-01-01,ATM003,corporate_park,1672000,522,1,0,1248000,0
2021-01-01,ATM004,rural_branch,592600,185,1,0,647400,0
2021-01-01,ATM005,transit_hub,1671500,522,1,0,1618500,0
2021-01-02,ATM001,metro_retail,1601000,500,0,0,0,1
2021-01-02,ATM002,urban_residential,1024700,320,0,0,123500,0
2021-01-02,ATM003,corporate_park,1248000,390,0,0,0,1
2021-01-02,ATM004,rural_branch,528400,165,0,0,119000,0
2021-01-02,ATM005,transit_hub,1618500,506,0,0,0,1
2021-01-03,ATM001,metro_retail,1519800,475,0,3540000,2020200,0
2021-01-03,ATM002,urban_residential,852100,266,0,1997000,1268400,0
2021-01-03,ATM003,corporate_park,1288700,403,0,2920000,1631300,0
2021-01-03,ATM004,rural_branch,465200,145,0,1121000,774900,0
2021-01-03,ATM005,transit_hub,1325800,414,0,3290000,1964200,0
2021-01-04,ATM001,metro_retail,1024800,320,0,0,995400,0
2021-01-04,ATM002,urban_residential,546000,171,0,0,722400,0
2021-01-04,ATM003,corporate_park,716100,224,0,0,915200,0
2021-01-04,ATM004,rural_branch,394600,123,0,0,380300,0
2021-01-04,ATM005,transit_hub,828500,259,0,0,1135700,0
2021-01-05,ATM001,metro_retail,687000,215,0,2545000,2853400,0
2021-01-05,ATM002,urban_residential,447700,140,0,1398000,1672700,0
2021-01-05,ATM003,corporate_park,615900,192,0,2005000,2304300,0
2021-01-05,ATM004,rural_branch,279400,87,0,860000,960900,0
2021-01-05,ATM005,transit_hub,651000,203,0,2154000,2638700,0
2021-01-06,ATM001,metro_retail,633200,198,0,0,2220200,0
2021-01-06,ATM002,urban_residential,397600,124,0,0,1275200,0
2021-01-06,ATM003,corporate_park,468400,146,0,0,1835900,0
2021-01-06,ATM004,rural_branch,203600,64,0,0,757300,0
2021-01-06,ATM005,transit_hub,635900,199,0,0,2002800,0
2021-01-07,ATM001,metro_retail,874800,273,0,0,1345400,0
2021-01-07,ATM002,urban_residential,537300,168,0,0,737800,0
2021-01-07,ATM003,corporate_park,604400,189,0,0,1231500,0
2021-01-07,ATM004,rural_branch,290900,91,0,0,466400,0
2021-01-07,ATM005,transit_hub,790300,247,0,0,1212400,0
2021-01-08,ATM001,metro_retail,1099600,344,0,0,245800,0
2021-01-08,ATM002,urban_residential,635300,199,0,1382000,1484500,0
2021-01-08,ATM003,corporate_park,964100,301,0,0,267500,0
2021-01-08,ATM004,rural_branch,351200,110,0,0,115200,0
2021-01-08,ATM005,transit_hub,992200,310,0,0,220300,0
2021-01-09,ATM001,metro_retail,1433200,448,0,3294000,2106700,0
2021-01-09,ATM002,urban_residential,712700,223,0,0,771800,0
2021-01-09,ATM003,corporate_park,1216900,380,0,2653000,1703500,0
2021-01-09,ATM004,rural_branch,511100,160,0,1125000,729100,0
2021-01-09,ATM005,transit_hub,1215400,380,0,3070000,2074900,0
2021-01-10,ATM001,metro_retail,1207300,377,0,0,899400,0
2021-01-10,ATM002,urban_residential,691400,216,0,0,80500,0
2021-01-10,ATM003,corporate_park,1000900,313,0,0,702600,0
2021-01-10,ATM004,rural_branch,506100,158,0,0,223100,0
2021-01-10,ATM005,transit_hub,1100700,344,0,0,974200,0
2021-01-11,ATM001,metro_retail,919000,287,0,2641000,2621400,0
2021-01-11,ATM002,urban_residential,464000,145,0,2040000,1656500,0
2021-01-11,ATM003,corporate_park,852800,267,0,2217000,2066800,0
2021-01-11,ATM004,rural_branch,349300,109,0,1017000,890700,0
