date,atm_id,location_type,net_cash_out,num_withdrawals,is_holiday,replenishment,start_balance,end_of_day_balance,stockout
2021-01-01,ATM001,metro_retail,1859000,581,1,0,3540000,1681000,0
2021-01-01,ATM002,urban_residential,974700,305,1,0,2030000,1055300,0
2021-01-01,ATM003,corporate_park,1346000,421,1,0,2350000,1004000,0
2021-01-01,ATM004,rural_branch,654900,205,1,0,1270000,615100,0
2021-01-01,ATM005,transit_hub,1947800,609,1,0,3680000,1732200,0
2021-01-02,ATM001,metro_retail,1681000,525,0,0,1681000,0,1
2021-01-02,ATM002,urban_residential,1039100,325,0,0,1055300,16200,0
2021-01-02,ATM003,corporate_park,1004000,314,0,0,1004000,0,1
2021-01-02,ATM004,rural_branch,615100,192,0,0,615100,0,1
2021-01-02,ATM005,transit_hub,1732200,541,0,0,1732200,0,1
2021-01-03,ATM001,metro_retail,1468000,459,0,3540000,3540000,2072000,0
2021-01-03,ATM002,urban_residential,879100,275,0,2014000,2030200,1151100,0
2021-01-03,ATM003,corporate_park,1072500,335,0,2350000,2350000,1277500,0
2021-01-03,ATM004,rural_branch,553600,173,0,1270000,1270000,716400,0
2021-01-03,ATM005,transit_hub,1578100,493,0,3680000,3680000,2101900,0
2021-01-04,ATM001,metro_retail,949400,297,0,0,2072000,1122500,0
2021-01-04,ATM002,urban_residential,512400,160,0,0,1151100,638700,0
2021-01-04,ATM003,corporate_park,662000,207,0,0,1277500,615500,0
2021-01-04,ATM004,rural_branch,327400,102,0,0,716400,388900,0
2021-01-04,ATM005,transit_hub,912100,285,0,0,2101900,1189800,0
2021-01-05,ATM001,metro_retail,745000,233,0,2417000,3539500,2794600,0
2021-01-05,ATM002,urban_residential,404300,126,0,1391000,2029700,1625400,0
2021-01-05,ATM003,corporate_park,470700,147,0,1735000,2350500,1879800,0
2021-01-05,ATM004,rural_branch,258100,81,0,881000,1269900,1011900,0
2021-01-05,ATM005,transit_hub,748100,234,0,2490000,3679800,2931700,0
2021-01-06,ATM001,metro_retail,712200,223,0,0,2794600,2082300,0
2021-01-06,ATM002,urban_residential,406200,127,0,0,1625400,1219200,0
2021-01-06,ATM003,corporate_park,492900,154,0,0,1879800,1386900,0
2021-01-06,ATM004,rural_branch,229100,72,0,0,1011900,782800,0
2021-01-06,ATM005,transit_hub,723600,226,0,0,2931700,2208100,0
2021-01-07,ATM001,metro_retail,874300,273,0,0,2082300,1208100,0
2021-01-07,ATM002,urban_residential,439800,137,0,0,1219200,779500,0
2021-01-07,ATM003,corporate_park,545800,171,0,0,1386900,841200,0
2021-01-07,ATM004,rural_branch,360900,113,0,0,782800,421900,0
2021-01-07,ATM005,transit_hub,768500,240,0,0,2208100,1439700,0
2021-01-08,ATM001,metro_retail,1106900,346,0,2332000,3540100,2433100,0
2021-01-08,ATM002,urban_residential,566300,177,0,0,779500,213100,0
2021-01-08,ATM003,corporate_park,776400,243,0,0,841200,64800,0
2021-01-08,ATM004,rural_branch,406900,127,0,848000,1269900,863000,0
2021-01-08,ATM005,transit_hub,1150900,360,0,0,1439700,288800,0
2021-01-09,ATM001,metro_retail,1355400,424,0,0,2433100,1077700,0
2021-01-09,ATM002,urban_residential,820000,256,0,1817000,2030100,1210100,0
2021-01-09,ATM003,corporate_park,1064200,333,0,2285000,2349800,1285500,0
2021-01-09,ATM004,rural_branch,579400,181,0,0,863000,283600,0
2021-01-09,ATM005,transit_hub,1164800,364,0,3391000,3679800,2515000,0
2021-01-10,ATM001,metro_retail,1119000,350,0,2462000,3539700,2420800,0
2021-01-10,ATM002,urban_residential,637500,199,0,0,1210100,572700,0
2021-01-10,ATM003,corporate_park,855800,267,0,0,1285500,429700,0
2021-01-10,ATM004,rural_branch,414300,129,0,986000,1269600,855300,0
2021-01-10,ATM005,transit_hub,1212500,379,0,0,2515000,1302500,0
2021-01-11,ATM001,metro_retail,880100,275,0,0,2420800,1540600,0
2021-01-11,ATM002,urban_residential,563000,176,0,1457000,2029700,1466700,0
2021-01-11,ATM003,corporate_park,761200,238,0,1920000,2349700,1588500,0
2021-01-11,ATM004,rural_branch,314500,98,0,0,855300,540800,0
2021-01-11,ATM005,transit_hub,883100,276,0,0,1302500,419400,0
2021-01-12,ATM001,metro_retail,739900,231,0,0,1540600,800700,0
2021-01-12,ATM002,urban_residential,416300,130,0,0,1466700,1050400,0
2021-01-12,ATM003,corporate_park,426300,133,0,0,1588500,1162200,0
2021-01-12,ATM004,rural_branch,247500,77,0,0,540800,293300,0
2021-01-12,ATM005,transit_hub,765800,239,0,3261000,3680400,2914600,0
2021-01-13,ATM001,metro_retail,688100,215,0,2739000,3539700,2851600,0
2021-01-13,ATM002,urban_residential,372300,116,0,0,1050400,678200,0
2021-01-13,ATM003,corporate_park,433700,136,0,0,1162200,728600,0
2021-01-13,ATM004,rural_branch,228800,71,0,977000,1270300,1041500,0
2021-01-13,ATM005,transit_hub,720000,225,0,0,2914600,2194600,0
2021-01-14,ATM001,metro_retail,880700,275,0,0,2851600,1970900,0
2021-01-14,ATM002,urban_residential,428500,134,0,1352000,2030200,1601600,0
2021-01-14,ATM003,corporate_park,496000,155,0,1621000,2349600,1853500,0
2021-01-14,ATM004,rural_branch,296700,93,0,0,1041500,744800,0
2021-01-14,ATM005,transit_hub,853000,267,0,0,2194600,1341600,0
2021-01-15,ATM001,metro_retail,1128100,353,0,0,1970900,842800,0
2021-01-15,ATM002,urban_residential,667200,209,0,0,1601600,934400,0
2021-01-15,ATM003,corporate_park,756300,236,0,0,1853500,1097200,0
2021-01-15,ATM004,rural_branch,455900,142,0,0,744800,288900,0
2021-01-15,ATM005,transit_hub,1206000,377,0,0,1341600,135500,0
2021-01-16,ATM001,metro_retail,1319600,412,0,2697000,3539800,2220200,0
2021-01-16,ATM002,urban_residential,839400,262,0,0,934400,94900,0
2021-01-16,ATM003,corporate_park,931900,291,0,0,1097200,165300,0
2021-01-16,ATM004,rural_branch,479400,150,0,981000,1269900,790500,0
2021-01-16,ATM005,transit_hub,1435700,449,0,3544000,3679500,2243800,0
2021-01-17,ATM001,metro_retail,1225200,383,0,0,2220200,995000,0
2021-01-17,ATM002,urban_residential,747100,233,0,1935000,2029900,1282800,0
2021-01-17,ATM003,corporate_park,750900,235,0,2185000,2350300,1599400,0
2021-01-17,ATM004,rural_branch,423900,132,0,0,790500,366600,0
2021-01-17,ATM005,transit_hub,1368200,428,0,0,2243800,875600,0
2021-01-18,ATM001,metro_retail,987400,309,0,2545000,3540000,2552600,0
2021-01-18,ATM002,urban_residential,506200,158,0,0,1282800,776600,0
2021-01-18,ATM003,corporate_park,684700,214,0,0,1599400,914700,0
2021-01-18,ATM004,rural_branch,345400,108,0,903000,1269600,924200,0
2021-01-18,ATM005,transit_hub,959700,300,0,2804000,3679600,2719900,0
2021-01-19,ATM001,metro_retail,741300,232,0,0,2552600,1811200,0
2021-01-19,ATM002,urban_residential,390600,122,0,0,776600,386000,0
2021-01-19,ATM003,corporate_park,535900,167,0,0,914700,378800,0
2021-01-19,ATM004,rural_branch,237400,74,0,0,924200,686800,0
2021-01-19,ATM005,transit_hub,749200,234,0,0,2719900,1970600,0
2021-01-20,ATM001,metro_retail,735600,230,0,0,1811200,1075700,0
2021-01-20,ATM002,urban_residential,390500,122,0,1644000,2030000,1639500,0
2021-01-20,ATM003,corporate_park,473200,148,0,1971000,2349800,1876700,0
2021-01-20,ATM004,rural_branch,239800,75,0,0,686800,447000,0
2021-01-20,ATM005,transit_hub,830000,259,0,0,1970600,1140600,0
2021-01-21,ATM001,metro_retail,835300,261,0,2464000,3539700,2704400,0
2021-01-21,ATM002,urban_residential,392600,123,0,0,1639500,1246900,0
2021-01-21,ATM003,corporate_park,464100,145,0,0,1876700,1412600,0
2021-01-21,ATM004,rural_branch,324700,101,0,0,447000,122300,0
2021-01-21,ATM005,transit_hub,843500,264,0,2539000,3679600,2836100,0
2021-01-22,ATM001,metro_retail,1072800,335,0,0,2704400,1631600,0
2021-01-22,ATM002,urban_residential,569500,178,0,0,1246900,677300,0
2021-01-22,ATM003,corporate_park,749200,234,0,0,1412600,663400,0
2021-01-22,ATM004,rural_branch,358900,112,0,1148000,1270300,911400,0
2021-01-22,ATM005,transit_hub,1307300,409,0,0,2836100,1528800,0
2021-01-23,ATM001,metro_retail,1296200,405,0,0,1631600,335500,0
2021-01-23,ATM002,urban_residential,812600,254,0,1353000,2030300,1217700,0
2021-01-23,ATM003,corporate_park,958100,299,0,1687000,2350400,1392300,0
2021-01-23,ATM004,rural_branch,480200,150,0,0,911400,431200,0
2021-01-23,ATM005,transit_hub,1516700,474,0,0,1528800,12100,0
2021-01-24,ATM001,metro_retail,1134900,355,0,3205000,3540500,2405500,0
2021-01-24,ATM002,urban_residential,690300,216,0,0,1217700,527400,0
2021-01-24,ATM003,corporate_park,801800,251,0,0,1392300,590500,0
2021-01-24,ATM004,rural_branch,563300,176,0,839000,1270200,706900,0
2021-01-24,ATM005,transit_hub,1200400,375,0,3668000,3680100,2479700,0
2021-01-25,ATM001,metro_retail,961500,300,0,0,2405500,1444000,0
2021-01-25,ATM002,urban_residential,502300,157,0,1503000,2030400,1528100,0
2021-01-25,ATM003,corporate_park,621800,194,0,1760000,2350500,1728600,0
2021-01-25,ATM004,rural_branch,269400,84,0,0,706900,437500,0
2021-01-25,ATM005,transit_hub,1086700,340,0,0,2479700,1393000,0
